Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Luas Areal Tanaman (hektar),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Lampung Barat,54051,-,-,-,106,512,-,24,-,-,-,-,1477,30,-,-,-,-,-,-,-,-
Tanggamus,41512,-,-,-,595,13869,-,135,-,-,-,-,13800,30,-,-,-,-,-,-,-,-
Lampung Selatan,715,-,-,-,7827,23134,-,22,-,-,-,-,11401,6869,-,-,-,-,-,-,-,-
Lampung Timur,515,-,-,-,15358,17861,-,346,-,-,-,-,10910,7512,-,-,-,-,-,-,-,-
Lampung Tengah,525,-,-,-,11479,6938,5124,21,-,-,-,-,5237,19149,-,-,-,-,-,-,-,-
Lampung Utara,25684,-,-,-,35399,820,3117,23,-,-,-,-,865,8026,-,-,-,-,-,-,-,-
Way Kanan,21957,-,-,-,30987,4090,10133,38,-,-,-,-,1428,13772,-,-,-,-,-,-,-,-
Tulang Bawang,82,-,-,-,32427,703,-,13,-,-,-,-,206,18922,-,-,-,-,-,-,-,-
Pesawaran,3452,-,-,-,1214,11246,-,85,-,-,-,-,27411,792,-,-,-,-,-,-,-,-
Pringsewu,1379,-,-,-,963,3490,-,86,-,-,-,-,4589,1149,-,-,-,-,-,-,-,-
Mesuji,83,-,-,-,27702,1243,-,24,-,-,-,-,167,21747,-,-,-,-,-,-,-,-
Tulang Bawang Barat,8,-,-,-,34799,325,290,10,-,-,-,-,18,4025,-,-,-,-,-,-,-,-
Pesisir Barat,6731,-,-,-,678,7245,-,14,-,-,-,-,1145,7166,-,-,-,-,-,-,-,-
Bandar Lampung,183,-,-,-,87,389,-,8,-,-,-,-,529,63,-,-,-,-,-,-,-,-
Metro,1,-,-,-,4,67,-,12,-,-,-,-,63,2,-,-,-,-,-,-,-,-
Provinsi Lampung,156878,-,-,-,199625,91932,18664,861,-,-,-,-,79246,109254,-,-,-,-,-,-,-,-
