Wilayah,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman (ton),,,,,,,,,,,,,,,,,,,,,
,Kopi Robusta,Kopi Arabika,Lada,Cengkeh,Karet,Kelapa Dalam,Tebu,Tembakau,Vanilli,Kayu Manis,Kapuk,Kelapa Hybrida,Kakao,Kelapa Sawit,Aren,Jambu Metet,Kemiri,Jarak Pagar,Nilam,Pala,Pinang,Cabe Jamu
,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
Lampung Barat,57930,-,-,-,42,628,-,7,-,-,-,-,1878,19,-,-,-,-,-,-,-,-
Tanggamus,34129,-,-,-,315,16275,-,96,-,-,-,-,6711,43,-,-,-,-,-,-,-,-
Lampung Selatan,425,-,-,-,6393,20930,-,16,-,-,-,-,9571,10521,-,-,-,-,-,-,-,-
Lampung Timur,240,-,-,-,6739,11274,-,519,-,-,-,-,3233,7128,-,-,-,-,-,-,-,-
Lampung Tengah,303,-,-,-,4923,6259,57317,39,-,-,-,-,3015,43095,-,-,-,-,-,-,-,-
Lampung Utara,9961,-,-,-,19553,420,9428,7,-,-,-,-,275,4750,-,-,-,-,-,-,-,-
Way Kanan,8705,-,-,-,52605,2877,80571,23,-,-,-,-,548,27665,-,-,-,-,-,-,-,-
Tulang Bawang,18,-,-,-,31196,622,-,2,-,-,-,-,133,46807,-,-,-,-,-,-,-,-
Pesawaran,1368,-,-,-,1099,8267,-,81,-,-,-,-,28544,681,-,-,-,-,-,-,-,-
Pringsewu,703,-,-,-,487,3357,-,67,-,-,-,-,2626,817,-,-,-,-,-,-,-,-
Mesuji,18,-,-,-,44135,1898,-,25,-,-,-,-,47,36987,-,-,-,-,-,-,-,-
Tulang Bawang Barat,5,-,-,-,24802,288,1233,9,-,-,-,-,6,4111,-,-,-,-,-,-,-,-
Pesisir Barat,3466,-,-,-,218,7887,-,11,-,-,-,-,690,14865,-,-,-,-,-,-,-,-
Bandar Lampung,38,-,-,-,94,445,-,7,-,-,-,-,207,150,-,-,-,-,-,-,-,-
Metro,1,-,-,-,1,47,-,1,-,-,-,-,24,-,-,-,-,-,-,-,-,-
Provinsi Lampung,117311,-,-,-,192601,81475,148549,910,-,-,-,-,57507,197639,-,-,-,-,-,-,-,-
