model,feature_set,n_features,n_samples,r2,rmse,mae,mape,timestamp
linear_regression,full,4,2,-3.0,22.0,22.0,2.99,2026-03-30T20:42:20.315088
random_forest,full,4,2,-3.0,22.0,22.0,2.99,2026-03-30T20:42:20.497592
xgboost,full,4,2,-3.0,22.0,22.0,2.99,2026-03-30T20:42:20.744646
svr,full,4,2,-3.0,22.0,22.0,2.99,2026-03-30T20:42:20.813873
random_forest,full,4,14,-0.1149,31.67,25.7,3.5,2026-03-30T20:55:52.002729
svr,full,4,14,-0.2473,33.5,27.89,3.8,2026-03-30T20:55:54.761416
xgboost,full,4,14,-0.6891,38.98,29.89,4.09,2026-03-30T20:55:54.585202
linear_regression,full,4,14,-1.1392,43.87,30.09,4.1,2026-03-30T20:55:50.787044
random_forest,full,9,135,0.1641,220.83,164.52,31.45,2026-03-30T21:57:15.499875
linear_regression,full,9,135,0.0693,233.02,179.24,34.12,2026-03-30T21:57:14.414071
svr,full,9,135,-0.0334,245.53,169.39,28.13,2026-03-30T21:57:17.724279
xgboost,full,9,135,-0.139,257.78,183.91,35.32,2026-03-30T21:57:17.508611
random_forest,full,9,135,0.1641,220.83,164.52,31.45,2026-03-30T22:08:06.467341
linear_regression,full,9,135,0.0693,233.02,179.24,34.12,2026-03-30T22:08:05.373704
svr,full,9,135,-0.0334,245.53,169.39,28.13,2026-03-30T22:08:08.794504
xgboost,full,9,135,-0.139,257.78,183.91,35.32,2026-03-30T22:08:08.562051
random_forest,full,22,120,0.2512,212.71,154.47,29.76,2026-03-30T22:09:08.523096
xgboost,full,22,120,0.2247,216.44,151.96,29.98,2026-03-30T22:09:10.442136
svr,full,22,120,-0.0439,251.14,170.88,28.0,2026-03-30T22:09:10.665692
linear_regression,full,22,120,-1.7188,405.3,310.84,58.58,2026-03-30T22:09:07.225639
random_forest,full,22,120,0.2512,212.71,154.47,29.76,2026-03-30T22:13:24.993762
xgboost,full,22,120,0.2247,216.44,151.96,29.98,2026-03-30T22:14:08.453115
svr,full,22,120,-0.0439,251.14,170.88,28.0,2026-03-30T22:14:09.070701
linear_regression,full,22,120,-1.7188,405.3,310.84,58.58,2026-03-30T22:12:40.938250
random_forest,full,31,120,0.2148,217.81,159.01,30.72,2026-03-30T22:22:31.171752
xgboost,full,31,120,0.2136,217.98,157.42,31.2,2026-03-30T22:22:33.269337
svr,full,31,120,-0.0567,252.67,172.05,28.11,2026-03-30T22:22:33.529050
linear_regression,full,31,120,-2.3653,450.92,367.85,70.16,2026-03-30T22:22:29.781165
random_forest,full,31,120,0.2148,217.81,159.01,30.72,2026-03-30T22:23:37.826747
xgboost,full,31,120,0.2136,217.98,157.42,31.2,2026-03-30T22:24:37.284166
svr,full,31,120,-0.0567,252.67,172.05,28.11,2026-03-30T22:24:37.924443
linear_regression,full,31,120,-2.3653,450.92,367.85,70.16,2026-03-30T22:22:46.245177
random_forest,full,38,120,0.3081,204.46,151.58,29.54,2026-03-31T05:12:17.986992
xgboost,full,38,120,0.254,212.3,147.26,28.89,2026-03-31T05:13:22.936249
svr,full,38,120,-0.0545,252.41,171.93,28.03,2026-03-31T05:13:23.312685
linear_regression,full,38,120,-1.2382,367.74,306.55,60.72,2026-03-31T05:11:28.297690
random_forest,optimal,15,120,0.3368,200.17,146.95,28.44,2026-03-31T05:17:04.875463
linear_regression,optimal,15,120,0.2409,214.16,163.55,30.89,2026-03-31T05:16:28.040892
xgboost,optimal,15,120,0.2395,214.36,143.31,27.97,2026-03-31T05:17:38.554815
svr,optimal,15,120,-0.0048,246.39,167.25,27.39,2026-03-31T05:17:38.901532
