feature,mean_abs_shap
temp_mean_annual,33.8188649737043
elevation_m,20.9196425909557
precip_wet_lag1,20.307907172624407
temp_max_dry,19.39277508427965
humidity_mean,18.801850671717272
solar_rad_annual,17.983257229383664
precip_wet,12.852033645904259
et0_annual,11.773825625139413
precip_transition_1,9.53203520907381
spi3_dec,5.361603713457721
precip_cv,3.5777728126771633
spi6_jun,2.888691937121122
precip_dry_lag1,2.8846713167296314
precip_annual,2.485715059563904
precip_transition_2,2.457841623328379
water_deficit,2.354174691332602
nino34_annual,2.2869456144199583
precip_fruiting,2.0652742029240687
precip_annual_lag1,2.0235800290422694
spi3_sep,1.9377758566226384
spi12_jun,1.6305153027964843
precip_flowering,1.4626068148583236
spi6_sep,1.4432910374799457
spi12_dec,1.396248391944846
spi12_sep,1.3941008078122228
spi3_jun,1.3683722483135972
dmi_annual,1.100579021913399
spi6_dec,0.5907657699196893
precip_dry,0.5299685809696947
nino34_djf,0.4506202240220515
wet_months,0.18737735783014645
